description,SRR11735465,SRR11735466,SRR11735467,SRR11735468,SRR11735469,SRR11735471,SRR11735472,SRR11735473,SRR11735474,SRR11735475,SRR11735476,SRR11735477,SRR11735478,SRR11735479,SRR11735480,SRR11735481,SRR11735482,SRR11735483,SRR11735484,SRR11735485,SRR11735486,SRR11735487,SRR11735488,SRR11735489,SRR11735490,SRR11735491,SRR11735492,SRR11735493,SRR11735494,SRR11735495,SRR11735496,SRR11735497,SRR11735498,SRR11735499,SRR11735500,SRR11735501,SRR11735502,SRR11735504,SRR11735505,SRR11735506,SRR5136859,SRR5136860,SRR5136861,SRR5136862,SRR5136863,SRR5136864,SRR5136865,SRR5136866,SRR5136867,SRR5136868,SRR5136869,SRR5136870,SRR5136871,SRR5136872,SRR5136873,SRR5136874,SRR5136875,SRR5136876,SRR17519993,SRR17519994,SRR17519995,SRR17519996,SRR17519997,SRR17519998,SRR17519999,SRR17520001,SRR17520002,SRR17520003,SRR17520004,SRR17520005,SRR17520006,SRR17520007,SRR17520008,SRR17520009,SRR17520010,SRR17520011,SRR17520012,SRR17520013,SRR17520014,SRR17520015,SRR17520016,SRR17520017,SRR17520018,SRR17520019,SRR17520020,SRR17520021,SRR17520022,SRR17520023,SRR17520024,SRR17520025,SRR17520026,SRR17520027,SRR17520029,SRR17520030,SRR17520031,SRR17520032,SRR17520033,SRR17520034,SRR17520035,SRR17520036,SRR17520037,SRR17520038,SRR17520039,SRR17520040,SRR17520041,SRR17520042,SRR17520043,SRR17520044,SRR17520045,SRR17520046,SRR17520047,SRR17520048,SRR17520049,SRR17520050,SRR17520051,SRR17520052,SRR17520053,SRR17520054,SRR17520055,SRR17520056,SRR17520057,SRR17520058,SRR17520059,SRR17520060,SRR17520061,SRR17520062,SRR17520063,SRR17520064,SRR17520065,SRR17520066,SRR17520067,SRR17520068,SRR10120013.fastq,SRR10120014.fastq,SRR10120015.fastq,SRR10120016.fastq,SRR10120017.fastq,SRR10120018.fastq,SRR10120019.fastq,SRR10120020.fastq,SRR10120021.fastq,SRR10120022.fastq,SRR10120023.fastq,SRR10120024.fastq,SRR10120025.fastq,SRR10120026.fastq,SRR10120027.fastq,SRR10120028.fastq,SRR10120029.fastq,SRR10120030.fastq,SRR10120031.fastq,SRR10120032.fastq,SRR10120033.fastq,SRR10120034.fastq,SRR10120035.fastq,SRR10120036.fastq,SRR10120037.fastq,SRR10120038.fastq,SRR10120039.fastq,SRR10120040.fastq,SRR10120041.fastq,SRR10120042.fastq,SRR10120043.fastq,SRR10120044.fastq,SRR10120045.fastq,SRR10120046.fastq,SRR10120047.fastq,SRR10120048.fastq,SRR10120049.fastq,SRR10120050.fastq,SRR10120051.fastq,SRR10120052.fastq,SRR10120053.fastq,SRR10120054.fastq,SRR10120055.fastq,SRR10120056.fastq,SRR10120057.fastq,SRR10120058.fastq,SRR10120059.fastq,SRR10120060.fastq,SRR10120061.fastq,SRR10120062.fastq,SRR10120063.fastq,SRR10120064.fastq,SRR10120065.fastq,SRR10120066.fastq,SRR10120067.fastq,SRR10120068.fastq,SRR10120069.fastq,SRR10120070.fastq,SRR10120071.fastq,SRR10120072.fastq,SRR10120073.fastq,SRR10120074.fastq,SRR10120075.fastq,SRR10120076.fastq,SRR10120077.fastq,SRR10120078.fastq,SRR10120079.fastq,SRR10120080.fastq,SRR10120081.fastq,SRR10120082.fastq,SRR10120083.fastq,SRR10120084.fastq,SRR10120085.fastq,SRR10120087.fastq,SRR10120088.fastq,SRR10120089.fastq,SRR10120090.fastq,SRR10120091.fastq,SRR10120092.fastq,SRR10120093.fastq,SRR10120094.fastq,SRR10120095.fastq,SRR10120096.fastq,SRR10120097.fastq,SRR10120098.fastq,SRR10120099.fastq,SRR10120100.fastq,SRR10120101.fastq,SRR10120102.fastq,SRR10120103.fastq,SRR10120104.fastq,SRR10120105.fastq,SRR10120106.fastq,SRR10120107.fastq,SRR10120108.fastq,SRR10120109.fastq,SRR10120110.fastq,SRR10120111.fastq,SRR10120112.fastq,SRR10120113.fastq,SRR10120114.fastq,SRR10120115.fastq,SRR10120116.fastq,SRR10120117.fastq,SRR10120118.fastq,SRR10120119.fastq,SRR10120120.fastq,SRR10120121.fastq,SRR10120122.fastq,SRR10120123.fastq,SRR10120124.fastq,SRR14320148,SRR14320149,SRR14320150,SRR14320151,SRR14320152,SRR14320153,SRR14320154,SRR14320155,SRR14320156,SRR14320157,SRR14320158,SRR14320159,SRR14320160,SRR14320161,SRR14320162,SRR14320163,SRR14320164,SRR14320165,SRR14320166,SRR14320167,SRR14320168,SRR14320169,SRR14320170,SRR14320171,SRR14320172,SRR14320173,SRR14320174,SRR14320175,SRR14320176,SRR14320177,SRR14320178,SRR14320179,SRR14320180,SRR14320181,SRR14320182,SRR14320183,SRR14320184,SRR14320185,SRR14320186,SRR14320187,SRR14320188,SRR14320189,SRR14320190,SRR14320191,SRR14320192,SRR14320193,SRR14320194,SRR14320195,SRR14320196,SRR14320197,SRR14320198,SRR14320199,SRR14320200,SRR14320201,SRR14320202,SRR14320203,SRR14320204,SRR14320205,SRR14320206,SRR14320207,SRR14320208,SRR14320209,SRR14320210,SRR14320211,SRR14320212,SRR14320213,SRR14320214,SRR14320215,SRR14320216,SRR14320217,SRR14320218,SRR14320219,SRR14320220,SRR14320221,SRR14320222,SRR14320223,SRR14320224,SRR14320225,SRR14320226,SRR14320227,SRR14320228,SRR14320229,SRR14320230,SRR14320231,SRR14320232,SRR14320233,SRR14320234,SRR14320235,SRR14320236,SRR14320237,SRR14320238,SRR14320239,SRR14320240,SRR14320241,SRR14320242,SRR14320243,SRR14320244,SRR14320245,SRR14320246,SRR14320247,SRR14320248,SRR14320249,SRR14320250,SRR14320251,SRR14320252,SRR14320253,SRR14320254,SRR14320255
enterobactin biosynthesis,0,0,3,0,16,1,13,0,8,5,4,2,0,0,0,0,0,0,0,0,4,6,6,1,23,1,3,0,3,2,0,0,0,3,0,0,1,0,0,3,2,8,2,0,3,4,1,3,13,1,5,0,1,8,7,1,0,2,2,0,2,5,8,1,0,0,10,0,3,4,3,1,1,1,0,3,0,0,0,1,1,0,0,0,1,7,6,2,0,1,13,1,1,0,10,0,2,2,1,6,4,12,0,0,6,8,0,3,9,0,0,9,5,2,0,0,6,14,1,13,2,0,2,5,4,13,0,0,13,18,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,11,0,5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,4,0,1,2,11,1,0,3,0,2,0,0,1,3,0,0,0,0,0,0,1,0,0,1,1,7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,11,0,0,0,1,0,2,0,0,2,0,0,2,1,0,6,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,4,2,2,0,1,0,0,5,2,1,0,6,9,0,0,0,0,4,0,0,0,1,4,2,1,7,0,0,14,5,0,0,0,6,0,0,5,0,2,3,0,5,4,1,5,1,2,2,3,0,8,5,0,0,1,0,5,3,1,0,2,8,1,0,7,2,0,2,0,0,4,0,8,2,1,1,0,2,0,4,0,1,10,4,0,4,0,0,0,0,8,2,0,0,1,1,0,0,7,4,4,0,1
fatty acid &beta;-oxidation I,0,0,2,0,22,5,18,0,22,2,12,3,0,0,0,0,1,0,0,0,1,13,17,10,37,0,10,0,1,2,0,0,0,4,0,0,0,0,0,3,0,6,2,2,0,0,1,3,8,1,3,0,0,9,22,2,0,2,1,0,3,0,10,0,0,1,11,0,1,3,2,1,1,0,4,1,1,0,0,0,0,0,0,0,1,8,2,0,0,0,13,4,1,0,13,0,5,1,2,4,1,9,3,0,3,11,0,2,13,0,0,12,8,0,0,2,6,5,0,9,1,0,1,4,5,24,0,0,11,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,9,1,1,0,2,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,9,2,0,0,1,4,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,5,0,0,0,0,13,0,0,0,22,8,1,0,0,2,0,0,0,0,0,6,0,0,9,0,2,7,5,0,0,2,5,0,0,7,0,1,1,0,6,2,0,4,1,2,1,4,0,2,4,0,2,0,0,3,1,1,2,8,4,0,0,11,4,0,1,0,0,0,0,1,3,1,0,1,6,1,3,1,0,24,1,0,4,1,0,0,0,6,0,0,0,1,0,0,0,10,2,4,0,1
fatty acid elongation -- saturated,34,43,54,43,36,49,35,58,40,46,43,3,70,32,48,12,51,33,48,59,27,31,22,42,22,48,39,47,52,66,54,46,51,26,45,52,56,37,54,60,22,17,8,19,12,41,24,17,18,6,29,27,9,12,26,4,47,8,12,20,13,28,24,31,27,19,19,22,17,34,30,20,4,30,10,21,22,32,15,28,29,18,19,14,12,23,28,11,21,25,31,15,14,43,24,18,29,13,21,11,24,22,35,33,34,21,27,23,16,16,24,30,36,31,16,26,6,17,31,17,27,16,22,27,20,28,21,18,17,22,20,19,9,7,8,4,20,6,27,12,14,5,1,22,19,18,5,22,8,25,8,9,0,12,23,11,14,3,32,27,5,17,22,4,0,6,1,11,2,10,2,2,2,13,11,8,20,29,0,15,2,7,47,17,1,12,4,14,16,29,0,24,2,13,12,22,19,21,10,21,3,8,9,4,27,19,11,25,26,25,4,18,0,19,21,13,19,10,2,21,3,21,0,6,0,14,4,24,0,3,2,21,0,12,7,5,7,28,13,40,2,6,6,15,36,5,12,12,19,23,15,13,29,19,12,23,25,13,27,16,26,11,9,4,18,5,4,11,14,13,9,11,23,8,6,20,25,15,7,30,15,26,15,19,27,5,34,15,8,17,2,12,25,3,15,15,4,15,17,18,23,16,23,27,15,38,28,4,27,17,15,16,18,17,15,13,23,0,19,12,13,81,11,0,15,18,1,1,22,0,17,15,8,18,5,11,11,29,17,21,19,5,13,20,4,10,23,13,24,17,16
fatty acid salvage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formaldehyde assimilation II (RuMP Cycle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,34,9,0,4,5,7,31,11,0,1,3,1,0,3,1,0,0,17,0,16,0,6,0,0,8,7,0,0,0,0,0,15,0,0,1,0,5,9,0,1,13,0,0,0,9,0,0,0,0,0,1,0,0,0,10,16,0,0,0,0,0,0,0,11,0,0,0,0,0,11,7,0,23,0,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,2,3,7,7,21,8,9,0,3,4,24,1,0,2,15,8,14,1,22,2,9,2,10,1,6,13,1,1,0,8,10,1,5,7,9,6,2,8,19,28,6,6,1,2,23,15,15,18,15,1,11,2,1,1,1,10,1,13,11,13,1,8,1,26,0,1,1,0,18,7,5,3,1,4,0,6,0,2,8,8,10,13,4,0,13,2,0,2,12,1,2,0,0,7,6,2,40,17,3,12,26,10,17,0,8,12,23,24,0,17,2,4,5,9,4,1,0,4,1,8,10,5,2,2,12,4,7,3,4,1,7,13,8,28,5,4,6,19,0,29,5,0,5,4,9,0,5,17,5,11,14,3,10,20,7,20,7,0,11,12,11,6,1,15,9,0,4,2,8,4,4,4,3,4,5,2,4,3,12,17,5,20,6,2,19,13,9,7,0,0,10,7,4,0,2,4,7,19,3,4,14,5,16,11,5,8,5,1,9,12,10,26,6,4,17,7,8,20,7
fucose degradation,0,0,4,0,9,0,8,0,10,1,5,0,0,0,0,0,1,0,0,0,1,8,4,7,16,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,6,3,10,8,1,1,9,5,30,3,7,11,13,8,12,2,9,11,7,5,5,6,2,3,2,6,0,7,7,4,5,11,2,6,7,6,3,8,4,2,4,8,9,7,8,12,4,5,5,6,11,8,4,9,10,2,10,7,14,2,5,4,1,4,7,5,4,5,3,0,8,5,7,9,1,3,10,8,11,1,9,5,6,10,9,3,6,11,19,9,4,3,3,3,0,1,8,1,2,3,3,4,2,3,9,1,6,2,1,6,2,8,1,5,4,3,1,1,2,0,2,4,3,0,6,6,0,0,4,6,0,1,2,14,7,5,0,4,6,10,2,2,2,3,4,4,9,1,1,17,0,10,3,21,5,2,4,2,0,7,8,3,5,3,5,0,7,3,1,5,6,9,4,0,1,5,11,9,3,4,5,10,2,9,4,1,5,4,14,7,3,1,2,1,1,1,7,3,0,2,6,1,8,7,13,2,14,7,7,14,8,7,2,17,16,7,2,3,6,7,6,4,17,5,10,13,7,6,22,5,5,2,9,7,7,15,9,2,13,11,13,3,8,19,24,9,13,8,9,16,11,11,28,18,13,18,5,7,6,7,8,10,3,5,9,7,8,10,7,7,11,10,12,13,5,2,16,17,17,12,3,11,5,7,8,8,19,6,9,22,21,14,16,9,9,6,6,12,4,6,20,4,6,21,3,13,10,2,5,13
galactose degradation I (Leloir pathway),6,0,15,0,29,8,28,0,14,8,12,61,0,17,37,42,1,13,33,0,35,21,15,12,17,10,10,0,8,5,0,23,0,12,35,0,23,17,0,0,34,29,47,24,29,24,19,39,26,22,28,29,39,25,14,35,10,33,44,34,38,30,28,29,25,34,23,39,29,45,17,33,41,32,39,34,26,19,40,29,32,37,32,38,48,39,19,36,39,37,20,28,41,26,28,42,39,25,34,30,30,20,30,9,28,20,42,29,30,27,37,25,26,29,30,31,25,29,28,33,30,39,42,35,31,26,31,33,40,24,25,20,40,44,40,38,45,31,32,43,49,37,35,35,36,34,32,34,38,23,28,41,35,45,39,32,18,36,34,22,45,34,30,37,25,35,42,50,54,34,24,41,49,29,37,27,36,34,31,39,43,33,34,27,42,40,33,29,33,40,31,33,37,36,31,39,31,29,42,19,35,37,33,34,34,28,41,31,26,37,33,22,41,30,13,28,35,32,42,42,41,29,40,41,42,38,23,31,31,38,22,40,50,38,20,39,79,26,36,57,40,39,32,29,16,48,33,47,21,29,31,34,28,40,31,30,26,28,16,21,26,32,32,39,34,36,43,48,34,35,22,33,39,30,40,18,33,28,34,20,32,22,39,28,37,36,23,37,35,30,29,34,24,44,20,21,29,27,23,34,25,32,29,31,31,21,35,39,22,38,24,31,26,40,43,32,27,39,14,40,32,56,38,36,37,40,43,28,33,49,18,24,32,32,40,42,34,21,21,35,37,45,38,30,40,39,26,32,29,33,31
gallate degradation I,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gallate degradation II,0,0,1,0,0,0,0,0,8,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,16,12,27,0,9,0,12,0,0,7,0,0,44,0,0,0,0,22,13,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,24,0,27,0,0,0,5,4,2,10,9,3,1,11,6,11,3,6,4,0,1,3,1,1,4,3,2,5,1,6,4,1,2,3,0,0,1,1,1,0,2,3,2,1,6,2,5,1,1,2,3,5,1,0,6,0,3,2,2,2,0,0,2,3,0,2,3,1,7,0,1,3,5,6,1,0,1,0,4,0,6,1,3,0,12,0,1,0,2,2,1,0,3,6,3,1,3,0,0,0,0,1,0,0,2,0,1,0,0,2,2,1,2,3,0,0,0,1,0,0,1,1,0,2,0,2,1,0,5,3,0,5,4,0,0,0,1,0,0,5,0,0,0,3,4,2,1,4,0,1,3,0,0,2,4,1,7,1,1,1,0,1,0,8,1,1,1,0,0,0,2,0,0,3,2,1,0,1,0,0,5,1,2,0,2,0,3,2,7,3,0,1,0,0,0,1,0,5,1,0,0,0,0,0,2,0,1,0,1,2,11,5,7,3,1,0,3,1,8,7,1,3,2,3,1,1,1,1,4,3,1,2,8,1,3,1,3,0,1,4,2,1,1,5,3,3,4,9,1,4,10,0,4,6,1,0,9,1,9,0,1,3,1,8,4,4,4,1,4,3,1,3,0,5,1,3,5,3,1,4,6,2,5,0,2,0,0,0,2,2,11,0,4,3,6,1,4,3,4,0,4,1,2,0,3,2,1,0,2,4,2,4,8,3,4,1,2
GDP-mannose biosynthesis,63,43,32,48,14,25,15,45,23,21,28,0,43,36,20,8,40,28,20,36,30,22,32,32,0,35,32,32,27,38,44,29,51,29,22,44,38,32,28,35,18,16,21,19,4,30,26,13,17,20,27,21,18,14,19,29,32,18,16,24,14,25,18,22,24,20,19,23,23,22,29,18,25,29,34,17,22,31,29,26,16,13,25,13,24,10,28,19,21,23,22,24,19,14,14,28,26,22,25,14,27,12,31,45,18,14,18,25,20,26,22,19,26,24,18,23,14,8,30,4,19,20,13,21,23,14,16,22,9,16,21,21,13,10,11,21,4,13,26,23,14,21,11,19,10,11,20,32,24,29,8,18,15,27,12,27,24,14,16,24,21,11,15,13,49,16,18,7,1,19,15,7,15,16,22,25,5,20,15,12,23,14,14,20,19,18,15,22,24,10,20,27,18,16,18,7,25,30,12,26,16,19,9,19,16,25,22,16,19,13,11,13,10,23,19,20,19,15,19,11,20,19,26,22,21,10,36,17,18,13,28,17,4,16,14,18,5,26,15,5,18,24,14,17,22,23,21,21,25,32,18,20,13,25,21,7,24,26,24,19,22,14,7,21,18,26,11,15,13,8,4,9,18,21,16,14,23,22,20,21,18,23,29,16,14,10,15,14,20,24,11,21,21,14,28,10,22,21,31,23,28,22,22,19,10,28,31,17,15,13,12,20,17,21,12,14,27,11,33,26,17,0,13,18,19,20,10,10,20,16,12,21,10,18,11,19,15,24,6,17,26,18,11,25,15,21,9,25,25,19,22
gluconeogenesis I,42,33,28,53,25,27,27,37,25,29,47,4,46,43,29,45,24,29,37,41,41,39,25,22,25,32,29,51,32,34,48,41,49,43,32,43,37,46,53,40,28,24,28,35,23,33,28,15,23,18,32,38,22,20,23,29,44,26,23,29,26,29,28,26,27,29,29,29,20,31,29,28,21,39,23,24,31,41,30,28,25,20,27,18,31,31,23,26,28,24,30,17,31,18,31,29,25,20,27,26,37,23,32,37,31,20,21,31,26,26,29,26,42,26,37,33,25,27,29,26,28,30,26,22,25,24,25,40,23,19,27,23,11,19,25,10,5,11,16,25,25,20,7,23,26,23,17,24,19,25,10,41,3,19,19,28,23,33,30,25,26,12,19,5,0,22,12,19,16,17,13,4,4,22,30,20,6,33,1,23,8,25,13,19,2,15,25,18,32,17,1,25,15,23,7,14,34,25,25,27,13,14,15,14,27,28,38,35,30,34,10,27,8,25,37,30,41,14,3,27,27,29,3,21,3,24,16,23,3,3,1,26,7,16,5,17,11,28,21,6,10,12,28,24,31,9,25,17,31,30,24,22,37,21,17,28,24,28,39,15,22,31,18,16,26,19,8,27,30,21,37,16,29,25,25,30,30,16,5,25,22,42,24,33,34,27,35,29,21,31,24,26,29,16,30,18,19,34,33,33,31,25,33,25,25,26,30,37,14,21,28,40,31,15,26,15,22,26,25,14,18,15,22,20,32,30,17,12,20,12,14,21,9,23,17,27,33,30,26,24,32,25,27,19,25,18,20,31,37,29,33
glucose and glucose-1-phosphate degradation,0,0,0,0,12,3,16,0,13,3,11,0,0,0,0,0,1,0,0,0,1,8,11,1,26,3,4,0,2,2,0,0,0,4,0,0,0,0,0,2,1,6,1,0,9,0,0,3,8,2,0,0,2,3,11,1,1,1,0,1,1,2,3,0,0,0,3,1,0,5,6,1,0,1,0,0,1,0,0,0,0,0,1,0,0,7,5,0,1,4,7,1,0,2,11,0,4,0,5,3,1,9,0,0,6,6,4,4,9,0,1,8,4,0,0,1,3,7,3,6,0,1,0,1,1,24,0,0,9,10,1,0,1,5,2,4,12,0,0,1,2,1,13,1,3,3,2,5,2,1,2,0,8,0,0,0,0,1,3,2,1,0,1,8,2,0,0,7,0,6,9,2,0,0,6,1,8,17,5,5,0,1,5,2,8,2,0,0,1,1,0,0,2,1,21,10,0,2,1,0,0,1,18,0,0,0,0,0,2,0,1,10,11,0,0,0,0,2,0,6,1,0,4,1,2,1,7,2,2,5,8,1,1,1,4,14,0,1,1,6,0,3,0,6,2,1,4,3,3,7,2,0,7,0,0,18,2,2,1,12,7,2,19,2,1,1,0,4,0,2,6,3,5,4,1,0,13,4,9,0,1,7,2,0,5,0,0,0,1,8,0,0,3,1,7,2,0,1,1,2,5,0,1,0,3,3,5,0,6,3,1,3,12,3,3,0,0,1,0,5,3,2,0,2,0,5,3,2,2,4,14,3,5,7,0,1,0,6,5,3,0,3,7,0,1,0,10,4,2,0,1
glutaryl-CoA degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,0,1,1,1,9,1,2,0,2,2,12,0,0,2,2,0,0,0,0,1,0,4,9,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,3,3,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,2,2,1,3,3,0,1,3,0,1,3,4,0,1,0,1,0,0,0,3,1,4,1,0,2,0,0,1,2,0,1,1,3,0,0,2,0,3,0,1,4,0,1,1,0,0,1,2,1,1,3,0,0,1,0,6,3,0,0,5,6,1,1,1,2,2,1,1,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,1,4,0,3,0,0
glycerol degradation to butanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,0,2,3,4,14,6,0,1,8,12,1,1,4,4,0,0,2,5,0,0,0,2,0,7,0,4,1,0,3,0,0,0,0,4,0,0,9,3,5,0,4,0,0,0,2,5,0,0,4,0,0,1,1,0,1,0,2,0,0,3,0,0,5,0,1,1,0,0,0,1,0,7,0,3,0,5,0,0,2,0,0,0,0,0,0,9,0,3,1,3,12,5,21,14,2,1,0,2,8,1,0,3,10,4,2,5,0,6,3,2,1,1,1,0,3,1,17,2,0,8,2,3,0,4,5,6,3,1,5,0,8,8,2,1,4,0,0,19,9,5,0,1,1,3,1,5,11,1,3,12,10,2,4,2,1,1,4,1,2,3,4,2,1,4,0,0,0,2,3,1,0,0,0,0,1,0,5,3,4,5,2,2,17,0,4,18,6,0,7,3,1,0,0,6,0,0,0,0,0,0,4,3,0,5,0,2,2,0,0,0,6,7,0,1,13,6,0,1,0,2,3,1,0,1,10,1,6,2,6,1,2,1,3,4,4,0,5,1,2,1,11,3,3,2,9,10,3,3,1,4,2,1,0,6,6,4,0,2,1,2,9,1,0,0,5,2,1,4,15,1,2,1,6,10,0,3,1,0,1,0,0,6,1,2,2,0,1,3,8,0,2,7,1,0,2,0,2,0,0,0,1,12,1,0,1,1
